Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,152.250000,156.800003,147.750000,149.100006,142.220718,17656464
2020-10-09,150.050003,157.300003,149.000000,154.850006,147.705414,29069977
2020-10-12,159.000000,160.800003,150.000000,150.550003,143.603806,22140139
2020-10-13,149.800003,153.000000,145.800003,146.800003,140.026810,16684174
2020-10-14,146.699997,156.750000,144.500000,155.300003,148.134644,28905464
2020-10-15,155.300003,157.850006,150.000000,151.500000,144.509964,14147460
2020-10-16,152.449997,153.699997,149.300003,151.149994,144.176102,8394246
2020-10-19,152.750000,154.850006,150.050003,153.100006,146.036148,8389297
2020-10-20,152.899994,154.399994,151.500000,152.500000,145.463821,4455453
2020-10-21,153.250000,154.199997,149.500000,151.600006,144.605347,5996349
2020-10-22,152.000000,154.350006,147.699997,149.399994,142.506851,7570936
2020-10-23,150.000000,155.149994,149.699997,150.449997,143.508408,16200138
2020-10-26,151.649994,154.000000,147.500000,149.949997,143.031479,12873170
2020-10-27,151.000000,151.600006,145.149994,147.899994,141.076065,10443057
2020-10-28,148.550003,148.649994,141.250000,143.300003,136.688309,13132739
2020-10-29,141.449997,142.300003,137.000000,139.949997,133.492874,13348426
2020-10-30,141.100006,144.399994,137.800003,140.000000,133.540558,14364651
2020-11-02,141.500000,142.649994,138.000000,140.300003,133.826721,9561754
2020-11-03,141.500000,145.899994,141.000000,142.250000,135.686752,14582005
2020-11-04,142.199997,144.850006,139.100006,141.649994,135.114426,9300589
2020-11-05,143.500000,145.800003,142.199997,144.649994,137.976013,10587721
2020-11-06,144.949997,155.500000,144.000000,152.350006,145.320755,28387775
2020-11-09,154.750000,155.899994,150.699997,153.399994,146.322296,10194113
2020-11-10,153.500000,160.300003,152.750000,157.800003,150.519302,16924420
2020-11-11,158.850006,165.500000,157.300003,159.449997,152.093155,21336609
2020-11-12,159.949997,175.350006,157.500000,171.050003,163.157944,63868645
2020-11-13,172.050003,184.000000,172.050003,182.199997,173.793503,29800438
2020-11-14,184.000000,189.850006,180.550003,184.600006,176.082779,6714889
2020-11-17,183.550003,185.750000,175.199997,180.550003,172.219635,14162276
2020-11-18,173.500000,182.899994,172.850006,181.800003,173.411957,16036563
2020-11-19,180.000000,184.800003,175.500000,176.800003,168.642654,11552506
2020-11-20,176.949997,179.000000,173.649994,174.750000,166.687241,7325842
2020-11-23,178.100006,180.050003,176.199997,177.850006,169.644211,7203396
2020-11-24,178.000000,183.949997,176.000000,181.699997,173.316574,10588500
2020-11-25,184.000000,195.899994,183.699997,185.350006,176.798172,52496096
2020-11-26,186.399994,187.750000,181.300003,185.699997,177.132004,14168986
2020-11-27,187.100006,192.199997,180.600006,187.050003,178.419739,25655087
2020-12-01,189.000000,194.100006,185.399994,188.850006,180.136688,14075121
2020-12-02,189.750000,192.000000,186.850006,188.399994,179.707443,11210964
2020-12-03,189.300003,198.699997,187.649994,193.300003,184.381363,25362014
2020-12-04,195.000000,198.649994,190.050003,194.050003,185.096756,20659071
2020-12-07,195.000000,206.500000,193.300003,203.100006,193.729218,30482313
2020-12-08,205.000000,206.300003,196.000000,199.500000,190.295303,14850563
